store_id,hub_id,store_name,store_segment,store_plan_price,store_latitude,store_longitude,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2
"497","13",CISI DA URPIOU ,FOOD,0,-22.8843321,-43.283366,"3304557",Rio de Janeiro,RJ,1200.329
"501","25",RISIRA ,FOOD,49.9,-23.5677027,-46.642043,"3550308",São Paulo,SP,1521.110
"508","20",GROI USPRUSSI ,FOOD,49,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"515","18",GULIMURAI RE ,FOOD,49,-22.9464282,-43.1823091,"3304557",Rio de Janeiro,RJ,1200.329
"520","26",IRIR OIS PUOUMIS ,FOOD,49.9,-23.5630195,-46.652621,"3550308",São Paulo,SP,1521.110
"524","3",ILA RIERUGI ,GOOD,49.9,-30.0374149,-51.20352,"4314902",Porto Alegre,RS,495.390
"525","25",PUCIRAMI  ,FOOD,49.9,-23.5677027,-46.642043,"3550308",São Paulo,SP,1521.110
"529","20",GULIMURAI RE ,FOOD,49,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"531","16",CISUMPES ,FOOD,49.9,-23.0172627,-43.4791238,"3304557",Rio de Janeiro,RJ,1200.329
"532","13",SIRLE FRA ,GOOD,29.9,-22.886644,-43.2801892,"3304557",Rio de Janeiro,RJ,1200.329
"540","22",UMIG ,GOOD,49,-23.0007532,-43.3837713,"3304557",Rio de Janeiro,RJ,1200.329
"545","3",IAMUR ,FOOD,49.9,-30.0374149,-51.20352,"4314902",Porto Alegre,RS,495.390
"555","20",RIGU I CIGU ,FOOD,49,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"563","3",MZU PLICA PAF ,FOOD,49.9,-30.038145,-51.20352,"4314902",Porto Alegre,RS,495.390
"564","20",PUMGUA ,FOOD,49.9,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"582","16",SPILUMI ,FOOD,49.9,-23.020709,-43.4897,"3304557",Rio de Janeiro,RJ,1200.329
"585","21",MUMRIFAM ,GOOD,29.9,-23.550407,-46.721291,"3550308",São Paulo,SP,1521.110
"586","26",GULIMI PIRULA ,FOOD,49.9,-23.563758,-46.652621,"3550308",São Paulo,SP,1521.110
"587","8",PIARO ,FOOD,,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"590","20",VUG UP ,FOOD,49,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"591","27",MZU SUACU LIP ,FOOD,49.9,-23.622995,-46.699204,"3550308",São Paulo,SP,1521.110
"595","27",ZIVIMUI ,GOOD,49.9,-23.622995,-46.699204,"3550308",São Paulo,SP,1521.110
"599","21",LIFM ,GOOD,,-23.550407,-46.721291,"3550308",São Paulo,SP,1521.110
"600","21",GRIME CRU ,GOOD,29.9,-23.550407,-46.721291,"3550308",São Paulo,SP,1521.110
"603","27",GRIME CRU ,GOOD,29.9,-23.622995,-46.699204,"3550308",São Paulo,SP,1521.110
"604","16",SIRVUMU AMILAI ,FOOD,49.9,-23.020709,-43.4897,"3304557",Rio de Janeiro,RJ,1200.329
"605","16",MIMAMI SAMU VAMUIGU ,GOOD,49.9,-23.020709,-43.4897,"3304557",Rio de Janeiro,RJ,1200.329
"606","8",MAP MIP ,GOOD,,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"607","27",ECILUMI MI LISI FASACIO PASCIAMO ,FOOD,49.9,,,,,,
"616","18",CILAFIRMAI CIOLA ,FOOD,49,-22.94733,-43.183534,"3304557",Rio de Janeiro,RJ,1200.329
"622","28",PASCIAMO ,FOOD,49.9,-23.595775,-46.685984,"3550308",São Paulo,SP,1521.110
"623","28",SUPSIO ,FOOD,49.9,-23.595775,-46.685984,"3550308",São Paulo,SP,1521.110
"624","28",SPILUMI ,FOOD,49.9,-23.595775,-46.685984,"3550308",São Paulo,SP,1521.110
"626","28",MUMRIFAM ,GOOD,29.9,-23.595775,-46.685984,"3550308",São Paulo,SP,1521.110
"627","27",FAM RIRGUM ,GOOD,29.9,-23.622995,-46.699204,"3550308",São Paulo,SP,1521.110
"629","8",RIARI SIARI ,FOOD,,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"631","28",IUMPICA ,FOOD,,-23.595775,-46.685984,"3550308",São Paulo,SP,1521.110
"632","28",IPUPIEMAI ,FOOD,,-23.595775,-46.685984,"3550308",São Paulo,SP,1521.110
"633","21",ZIVIMUI ,GOOD,49.9,-23.550407,-46.721291,"3550308",São Paulo,SP,1521.110
"640","28",GRIME CRU ,GOOD,49,-23.595775,-46.685984,"3550308",São Paulo,SP,1521.110
"641","26",MUMRIFAM ,GOOD,29.9,-23.563758,-46.652621,"3550308",São Paulo,SP,1521.110
"644","13",USARULI DA SUA,FOOD,,-22.887521,-43.283366,"3304557",Rio de Janeiro,RJ,1200.329
"646","21",PASCIAMU ,FOOD,49.9,-23.550407,-46.721291,"3550308",São Paulo,SP,1521.110
"648","27",PIPRU SUIM ,FOOD,49.9,-23.622995,-46.699204,"3550308",São Paulo,SP,1521.110
"651","27",SIZMUO RICAUMS ,FOOD,49.9,-23.622995,-46.699204,"3550308",São Paulo,SP,1521.110
"652","25",MUMRIFAM ,GOOD,29.9,-23.570765,-46.642043,"3550308",São Paulo,SP,1521.110
"656","3",IPALUPAES ,FOOD,0.01,-30.038145,-51.20352,"4314902",Porto Alegre,RS,495.390
"657","21",RIGAC FAM ,GOOD,29.9,-23.550407,-46.721291,"3550308",São Paulo,SP,1521.110
"658","29",IUMPICA ,FOOD,,-23.561053,-46.558976,"3550308",São Paulo,SP,1521.110
"659","29",IPUPIEMAI ,FOOD,,-23.561053,-46.558976,"3550308",São Paulo,SP,1521.110
"660","16",FIRIFI CIRAICI ,FOOD,49,-22.989451,-43.433223,"3304557",Rio de Janeiro,RJ,1200.329
"661","20",RA VACAI EUSEU I AMACAI ,FOOD,49,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"666","25",RIZI ,FOOD,49.9,-23.570765,-46.642043,"3550308",São Paulo,SP,1521.110
"669","29",PUPALUGALA,FOOD,49.9,-23.561053,-46.558976,"3550308",São Paulo,SP,1521.110
"673","18",MIZPIZ ,FOOD,49,-22.950331,-43.184893,"3304557",Rio de Janeiro,RJ,1200.329
"674","29",AR TRAMUO ,FOOD,49.9,-23.561053,-46.558976,"3550308",São Paulo,SP,1521.110
"676","31",IUMPICA ,FOOD,,-23.631835,-46.735203,"3550308",São Paulo,SP,1521.110
"678","18",MZU PIUI ,FOOD,49,-22.949561,-43.185022,"3304557",Rio de Janeiro,RJ,1200.329
"679","18",ZIRIE ,FOOD,49,-22.94733,-43.183534,"3304557",Rio de Janeiro,RJ,1200.329
"681","5",CISI DA POI EU QUASI ,FOOD,49.9,-23.003717,-43.317444,"3304557",Rio de Janeiro,RJ,1200.329
"682","25",MISMO GRALA,FOOD,49.9,-23.570765,-46.642043,"3550308",São Paulo,SP,1521.110
"684","17",RIZIGIMO ,GOOD,29.9,-23.599551,-46.636755,"3550308",São Paulo,SP,1521.110
"685","20",CICIU SZIS ,GOOD,29.9,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"686","29",RIMUIMI GRALA,FOOD,49.9,-23.561053,-46.558976,"3550308",São Paulo,SP,1521.110
"687","17",LUPI ,GOOD,29.9,-23.599551,-46.636755,"3550308",São Paulo,SP,1521.110
"689","17",RIRIMI ,GOOD,29.9,-23.599551,-46.636755,"3550308",São Paulo,SP,1521.110
"690","29",EAVAMI FIGOI ,FOOD,49.9,-23.561053,-46.558976,"3550308",São Paulo,SP,1521.110
"692","29",PIULIMGURAU CIRAICI ,FOOD,49.9,-23.561053,-46.558976,"3550308",São Paulo,SP,1521.110
"693","29",EURECA ,GOOD,29,-23.561053,-46.558976,"3550308",São Paulo,SP,1521.110
"695","5",PILAS SUCIS ,FOOD,49,-23.004907,-43.318364,"3304557",Rio de Janeiro,RJ,1200.329
"697","21",ZIPU ,GOOD,29.9,-23.550407,-46.721291,"3550308",São Paulo,SP,1521.110
"700","21",CZALLA PUIMS ,GOOD,29.9,-23.550407,-46.721291,"3550308",São Paulo,SP,1521.110
"701","21",SMIRPIAMU ,GOOD,29.9,-23.550407,-46.721291,"3550308",São Paulo,SP,1521.110
"702","21",EUCI SGAM ,GOOD,,-23.550407,-46.721291,"3550308",São Paulo,SP,1521.110
"706","17",AR CIM ,GOOD,29.9,-23.599551,-46.636755,"3550308",São Paulo,SP,1521.110
"707","33",IUMPICA ,FOOD,,-23.579067,-46.594006,"3550308",São Paulo,SP,1521.110
"716","33",EA CUMUI ,FOOD,49.9,-23.579067,-46.594006,"3550308",São Paulo,SP,1521.110
"728","33",GUMOUA ,FOOD,49.9,-23.579067,-46.594006,"3550308",São Paulo,SP,1521.110
"735","33",IRIR OIS PUOUMIS ,FOOD,49.9,-23.579067,-46.594006,"3550308",São Paulo,SP,1521.110
"739","16",GIPUMZIGUM ,GOOD,29,-23.020709,-43.4897,"3304557",Rio de Janeiro,RJ,1200.329
"745","3",IGUAI VUMURAMIRAI ,GOOD,,-30.037362,-51.204753,"4314902",Porto Alegre,RS,495.390
"747","21",IRUZZI ,GOOD,29.9,-23.550407,-46.721291,"3550308",São Paulo,SP,1521.110
"748","27",LI PISMI GAIMOI ,FOOD,49.9,-23.622995,-46.699204,"3550308",São Paulo,SP,1521.110
"753","3",PF PIR FIVIR ,FOOD,0,-30.038145,-51.20352,"4314902",Porto Alegre,RS,495.390
"754","13",GIPUMZIGUM ,GOOD,,-22.887521,-43.283366,"3304557",Rio de Janeiro,RJ,1200.329
"762","26",CZALLA PUIMS ,GOOD,29.9,-23.563758,-46.652621,"3550308",São Paulo,SP,1521.110
"763","26",CISI PIUEUEMI ,GOOD,49.9,-23.563758,-46.652621,"3550308",São Paulo,SP,1521.110
"767","29",PASSIMA ,FOOD,49.9,-23.561053,-46.558976,"3550308",São Paulo,SP,1521.110
"771","27",MISQUAMZI DA USQUAMI ,FOOD,49.9,-23.622995,-46.699204,"3550308",São Paulo,SP,1521.110
"773","18",OU SALVI ,FOOD,49,-22.94733,-43.183534,"3304557",Rio de Janeiro,RJ,1200.329
"780","29",GARIOLIS ,FOOD,,-23.561053,-46.558976,"3550308",São Paulo,SP,1521.110
"783","22",VUZPI ,FOOD,49,-23.000149,-43.381736,"3304557",Rio de Janeiro,RJ,1200.329
"785","33",ARE TRAMUO ,FOOD,49.9,-23.579067,-46.594006,"3550308",São Paulo,SP,1521.110
"786","33",LU PUMAM RICIRIMS ,GOOD,49.9,-23.579067,-46.594006,"3550308",São Paulo,SP,1521.110
"787","33",PUGOIE ,FOOD,49.9,-23.579067,-46.594006,"3550308",São Paulo,SP,1521.110
"790","33",MZU SMUIG FICMIRO ,FOOD,49.9,-23.579889,-46.594297,"3550308",São Paulo,SP,1521.110
"791","8",PULGAIM SIOLLU ,FOOD,0,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"792","13",CIOLAMISM ,FOOD,0,-22.887521,-43.283366,"3304557",Rio de Janeiro,RJ,1200.329
"801","20",CIMUAMI PUIMISURI ,FOOD,49,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"802","20",PIAMUARIS CIFO ,FOOD,49,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"804","18",MOIRI MPECILIMU PIR ,FOOD,49,-22.94733,-43.183534,"3304557",Rio de Janeiro,RJ,1200.329
"806","27",IMLAIZA,GOOD,,,,,,,
"807","29",ZIMRPI,GOOD,,,,,,,
"808","28",ROICIPIP,GOOD,,,,,,,
